angle;RAW DATA;FILTERED DATA
0;0.000000;0.000000
3;2.616305;0.625447
6;5.225441;1.725109
9;7.820260;3.182199
12;10.393652;4.906149
15;12.938567;6.826357
18;15.448031;8.887430
21;17.915171;11.045577
24;20.333223;13.265856
27;22.695564;15.520096
30;24.995722;17.785313
33;27.227396;20.042511
36;29.384468;22.275774
39;31.461029;24.471577
42;33.451393;26.618269
45;35.350101;28.705677
48;37.151955;30.724821
51;38.852013;32.667686
54;40.445625;34.527061
57;41.928417;36.296410
60;43.296329;37.969791
63;44.545616;39.541790
66;45.672852;41.007465
69;46.674950;42.362320
72;47.549160;43.602272
75;48.293095;44.723648
78;48.904709;45.723164
81;49.382328;46.597916
84;49.724648;47.345383
87;49.930725;47.963432
90;49.999996;48.450291
93;49.932274;48.804573
96;49.727745;49.025269
99;49.386963;49.111740
